-adce                           aggressive dead code elimination
-always-inline                  inline function
-basicaa                        basic alias analysis (stateless)
-basiccg                        callgraph construction
-correlated-propagation         ?(Value Propagation)
-deadargelim                    elim dead args
-domtree                        dom tree construction
-dse                            dead store elim
-early-cse                      simple/fast common subexpression elim
-functionattrs                  mark readonly/readnone/nocapture
-globalopt                      global variable optimizer
-indvars                        canonicalize induction variable
-inline-cost                    ?(Inline Cost Analysis)
-instcombine                    instruction combining
-ipsccp                         interprocedural sparse conditional constant propagation
-jump-threading                 jump basic block for known branching
-lazy-value-info                ?(Lazy Value Info Analysis)
-lcssa                          loop-closed SSA form (adding a unnecessary phinode)
-licm                           loop invariant code motion
-loop-deletion                  delete dead loops
-loop-idiom                     ?(Recognize Loop Idioms)
-loop-rotate                    ?(Rotate Loops)
-loop-simplify                  simplify cfg for loops
-loop-unroll                    loop unrolling
-loop-unswitch                  for-if => if-for
-loop-vectorize                 ?(http://llvm.org/docs/Vectorizers.html)
-loops                          ?(Natural Loop Information)
-lower-expect                   ?(Lower 'expect' intrinsics)
-memcpyopt                      related to memcpy/memset
-memdep                         mem dependence analysis
-no-aa                          no alias analysis
-notti                          ?(No Target Information)
-prune-eh                       remove unused exception handling
-reassociate                    reassociate commutative expressions
-scalar-evolution               ?(http://llvm.org/docs/Passes.html#scalar-evolution-scalar-evolution-analysis)
-sccp                           sparse conditional constant propagation
-simplifycfg                    simplify cfg
-sroa                           scalar replacement of aggregates (for better mem2reg)
-strip-dead-prototypes          remove dead decls
-tailcallelim                   tail call elimination
-targetlibinfo                  ?(Target Library Information, immutable pass)
-tbaa                           ?(Type-Based Alias Analysis)
-verify                         well-formedness check
